year_city,city,country,avg_temp_city,year_glob,avg_temp_glob
1849,Lagos,Nigeria,25.98,1849,7.98
1850,Lagos,Nigeria,25.87,1850,7.90
1851,Lagos,Nigeria,26.10,1851,8.18
1852,Lagos,Nigeria,,1852,8.10
1853,Lagos,Nigeria,,1853,8.04
1854,Lagos,Nigeria,,1854,8.21
1855,Lagos,Nigeria,,1855,8.11
1856,Lagos,Nigeria,26.35,1856,8.00
1857,Lagos,Nigeria,25.45,1857,7.76
1858,Lagos,Nigeria,25.92,1858,8.10
1859,Lagos,Nigeria,26.18,1859,8.25
1860,Lagos,Nigeria,26.01,1860,7.96
1861,Lagos,Nigeria,25.95,1861,7.85
1862,Lagos,Nigeria,25.90,1862,7.56
1863,Lagos,Nigeria,,1863,8.11
1864,Lagos,Nigeria,,1864,7.98
1865,Lagos,Nigeria,,1865,8.18
1866,Lagos,Nigeria,,1866,8.29
1867,Lagos,Nigeria,,1867,8.44
1868,Lagos,Nigeria,,1868,8.25
1869,Lagos,Nigeria,,1869,8.43
1870,Lagos,Nigeria,,1870,8.20
1871,Lagos,Nigeria,,1871,8.12
1872,Lagos,Nigeria,,1872,8.19
1873,Lagos,Nigeria,26.46,1873,8.35
1874,Lagos,Nigeria,26.08,1874,8.43
1875,Lagos,Nigeria,25.82,1875,7.86
1876,Lagos,Nigeria,25.82,1876,8.08
1877,Lagos,Nigeria,26.35,1877,8.54
1878,Lagos,Nigeria,26.26,1878,8.83
1879,Lagos,Nigeria,25.67,1879,8.17
1880,Lagos,Nigeria,26.14,1880,8.12
1881,Lagos,Nigeria,26.39,1881,8.27
1882,Lagos,Nigeria,26.01,1882,8.13
1883,Lagos,Nigeria,26.42,1883,7.98
1884,Lagos,Nigeria,26.43,1884,7.77
1885,Lagos,Nigeria,26.01,1885,7.92
1886,Lagos,Nigeria,25.87,1886,7.95
1887,Lagos,Nigeria,25.09,1887,7.91
1888,Lagos,Nigeria,25.42,1888,8.09
1889,Lagos,Nigeria,25.34,1889,8.32
1890,Lagos,Nigeria,24.86,1890,7.97
1891,Lagos,Nigeria,25.29,1891,8.02
1892,Lagos,Nigeria,25.49,1892,8.07
1893,Lagos,Nigeria,25.67,1893,8.06
1894,Lagos,Nigeria,25.59,1894,8.16
1895,Lagos,Nigeria,25.92,1895,8.15
1896,Lagos,Nigeria,25.87,1896,8.21
1897,Lagos,Nigeria,26.29,1897,8.29
1898,Lagos,Nigeria,25.79,1898,8.18
1899,Lagos,Nigeria,26.31,1899,8.40
1900,Lagos,Nigeria,26.42,1900,8.50
1901,Lagos,Nigeria,26.53,1901,8.54
1902,Lagos,Nigeria,26.09,1902,8.30
1903,Lagos,Nigeria,25.68,1903,8.22
1904,Lagos,Nigeria,25.48,1904,8.09
1905,Lagos,Nigeria,26.16,1905,8.23
1906,Lagos,Nigeria,26.21,1906,8.38
1907,Lagos,Nigeria,25.96,1907,7.95
1908,Lagos,Nigeria,26.15,1908,8.19
1909,Lagos,Nigeria,26.08,1909,8.18
1910,Lagos,Nigeria,26.13,1910,8.22
1911,Lagos,Nigeria,25.72,1911,8.18
1912,Lagos,Nigeria,26.17,1912,8.17
1913,Lagos,Nigeria,26.65,1913,8.30
1914,Lagos,Nigeria,26.75,1914,8.59
1915,Lagos,Nigeria,26.81,1915,8.59
1916,Lagos,Nigeria,26.60,1916,8.23
1917,Lagos,Nigeria,26.96,1917,8.02
1918,Lagos,Nigeria,26.41,1918,8.13
1919,Lagos,Nigeria,26.70,1919,8.38
1920,Lagos,Nigeria,26.72,1920,8.36
1921,Lagos,Nigeria,26.77,1921,8.57
1922,Lagos,Nigeria,26.73,1922,8.41
1923,Lagos,Nigeria,26.63,1923,8.42
1924,Lagos,Nigeria,26.95,1924,8.51
1925,Lagos,Nigeria,26.64,1925,8.53
1926,Lagos,Nigeria,26.97,1926,8.73
1927,Lagos,Nigeria,26.88,1927,8.52
1928,Lagos,Nigeria,26.75,1928,8.63
1929,Lagos,Nigeria,26.48,1929,8.24
1930,Lagos,Nigeria,26.84,1930,8.63
1931,Lagos,Nigeria,26.85,1931,8.72
1932,Lagos,Nigeria,26.46,1932,8.71
1933,Lagos,Nigeria,26.93,1933,8.34
1934,Lagos,Nigeria,26.89,1934,8.63
1935,Lagos,Nigeria,26.90,1935,8.52
1936,Lagos,Nigeria,26.66,1936,8.55
1937,Lagos,Nigeria,26.96,1937,8.70
1938,Lagos,Nigeria,26.82,1938,8.86
1939,Lagos,Nigeria,26.39,1939,8.76
1940,Lagos,Nigeria,26.81,1940,8.76
1941,Lagos,Nigeria,27.36,1941,8.77
1942,Lagos,Nigeria,26.95,1942,8.73
1943,Lagos,Nigeria,26.53,1943,8.76
1944,Lagos,Nigeria,27.07,1944,8.85
1945,Lagos,Nigeria,27.07,1945,8.58
1946,Lagos,Nigeria,26.72,1946,8.68
1947,Lagos,Nigeria,26.98,1947,8.80
1948,Lagos,Nigeria,26.61,1948,8.75
1949,Lagos,Nigeria,26.98,1949,8.59
1950,Lagos,Nigeria,26.57,1950,8.37
1951,Lagos,Nigeria,26.89,1951,8.63
1952,Lagos,Nigeria,26.66,1952,8.64
1953,Lagos,Nigeria,26.66,1953,8.87
1954,Lagos,Nigeria,26.28,1954,8.56
1955,Lagos,Nigeria,26.42,1955,8.63
1956,Lagos,Nigeria,26.31,1956,8.28
1957,Lagos,Nigeria,26.65,1957,8.73
1958,Lagos,Nigeria,26.68,1958,8.77
1959,Lagos,Nigeria,26.72,1959,8.73
1960,Lagos,Nigeria,26.68,1960,8.58
1961,Lagos,Nigeria,26.46,1961,8.80
1962,Lagos,Nigeria,26.55,1962,8.75
1963,Lagos,Nigeria,27.01,1963,8.86
1964,Lagos,Nigeria,26.48,1964,8.41
1965,Lagos,Nigeria,26.53,1965,8.53
1966,Lagos,Nigeria,26.84,1966,8.60
1967,Lagos,Nigeria,26.43,1967,8.70
1968,Lagos,Nigeria,26.67,1968,8.52
1969,Lagos,Nigeria,26.89,1969,8.60
1970,Lagos,Nigeria,26.92,1970,8.70
1971,Lagos,Nigeria,26.56,1971,8.60
1972,Lagos,Nigeria,26.91,1972,8.50
1973,Lagos,Nigeria,27.20,1973,8.95
1974,Lagos,Nigeria,26.44,1974,8.47
1975,Lagos,Nigeria,26.27,1975,8.74
1976,Lagos,Nigeria,26.37,1976,8.35
1977,Lagos,Nigeria,27.01,1977,8.85
1978,Lagos,Nigeria,26.73,1978,8.69
1979,Lagos,Nigeria,26.99,1979,8.73
1980,Lagos,Nigeria,26.85,1980,8.98
1981,Lagos,Nigeria,26.79,1981,9.17
1982,Lagos,Nigeria,26.66,1982,8.64
1983,Lagos,Nigeria,26.99,1983,9.03
1984,Lagos,Nigeria,26.98,1984,8.69
1985,Lagos,Nigeria,26.74,1985,8.66
1986,Lagos,Nigeria,26.65,1986,8.83
1987,Lagos,Nigeria,27.51,1987,8.99
1988,Lagos,Nigeria,27.04,1988,9.20
1989,Lagos,Nigeria,26.71,1989,8.92
1990,Lagos,Nigeria,27.06,1990,9.23
1991,Lagos,Nigeria,26.88,1991,9.18
1992,Lagos,Nigeria,26.73,1992,8.84
1993,Lagos,Nigeria,26.90,1993,8.87
1994,Lagos,Nigeria,26.84,1994,9.04
1995,Lagos,Nigeria,27.07,1995,9.35
1996,Lagos,Nigeria,26.92,1996,9.04
1997,Lagos,Nigeria,26.91,1997,9.20
1998,Lagos,Nigeria,27.53,1998,9.52
1999,Lagos,Nigeria,27.03,1999,9.29
2000,Lagos,Nigeria,27.02,2000,9.20
2001,Lagos,Nigeria,26.92,2001,9.41
2002,Lagos,Nigeria,27.13,2002,9.57
2003,Lagos,Nigeria,27.37,2003,9.53
2004,Lagos,Nigeria,27.32,2004,9.32
2005,Lagos,Nigeria,27.39,2005,9.70
2006,Lagos,Nigeria,27.53,2006,9.53
2007,Lagos,Nigeria,27.46,2007,9.73
2008,Lagos,Nigeria,27.30,2008,9.43
2009,Lagos,Nigeria,27.53,2009,9.51
2010,Lagos,Nigeria,27.79,2010,9.70
2011,Lagos,Nigeria,27.35,2011,9.52
2012,Lagos,Nigeria,27.15,2012,9.51
2013,Lagos,Nigeria,27.36,2013,9.61
